sample,fastq_1,fastq_2
B1-16s,s3://mp-bioinfo/test_data/B1_16s_L001_R1_001.fastq.gz,
B2-16s,s3://mp-bioinfo/test_data/B2_16s_L001_R1_001.fastq.gz,
